feature,class
"[-2.52982535e+02 -2.70489154e+01 -5.09579632e+01  1.48229218e+00
 -1.04626743e+01 -6.34473109e+00 -1.21922359e+01  1.61466855e+01
  2.94779808e+00  5.14347230e-01 -5.72207431e-01 -3.14773930e+00
 -1.09800745e+01  2.08120959e+00 -6.01512496e+00  1.36126940e+01
  1.51799388e+01  2.05918025e+01  7.53581885e+00 -1.75286628e+00
 -6.35591497e+00  4.44922150e-01 -7.42793075e-01 -3.24292101e+00
 -7.74767496e+00 -3.82957553e+00 -2.83979478e+00 -2.03889178e+00
 -5.53524730e+00 -2.66519253e+00  1.67027406e+00  3.04939784e+00
 -1.11566347e+00 -3.54770766e-02  2.57226040e+00 -1.79454497e-01
 -2.62093759e+00 -1.14888170e+00 -1.43314212e+00 -1.83211401e+00]",cat
"[-1.62667319e+02  6.05271483e+01 -1.87574782e+01  2.38662486e+01
 -1.17524339e+01  2.00262815e+01 -5.78739662e+00  4.85016493e-01
 -9.91129876e+00  1.12737815e+01  5.93565604e+00  2.89166056e+01
 -6.38985520e+00 -1.66154203e+01 -1.77755967e+01 -4.40788765e+00
  7.94074750e+00 -1.65817447e+01 -1.20023732e+01  1.52350915e+01
  1.69985512e+01  1.13308698e+00 -1.44744978e+00  4.04787609e+00
 -1.65009900e+01 -7.45138837e+00  4.17399497e+00 -3.12650204e+00
 -1.00666090e+01  1.20100156e+00  9.12814367e+00  3.25479188e+00
  2.61349963e+00 -3.02983267e+00 -5.56011208e+00 -7.53457462e-01
 -2.50910784e+00 -3.27971575e+00  7.07994189e+00 -4.02289675e-02]",cat
"[-2.36200753e+02  6.38437013e+01 -3.30404504e+01 -1.20639617e+01
 -1.93514004e+01 -5.73874904e+00 -2.15504552e+01 -4.53968160e+00
 -8.25420812e+00 -1.02762994e+01 -1.26651832e+01 -6.29109570e+00
 -1.20900707e+01 -3.90239031e+00 -6.13874154e+00 -2.94134229e+00
 -3.69413148e+00 -4.76235792e-02 -5.72182559e-01 -4.93512817e+00
 -2.23770808e+00  4.70160902e-01 -1.22026258e+00 -3.05178723e+00
 -6.39339001e+00 -2.36788193e+00 -1.48788520e+00 -3.09136486e+00
 -5.33005156e+00 -3.89590811e+00 -2.86352408e+00  3.20124487e+00
  3.38585807e+00  4.90647901e+00  3.74068481e+00  1.14879201e-01
 -2.42474631e+00 -1.19966612e+00  5.21568562e-01  1.36772897e+00]",cat
"[-2.48669947e+02  7.52221935e+01 -3.30778710e+01 -1.40914162e+01
 -1.92377368e+01 -5.10567942e+00 -2.14662770e+01 -5.81307506e+00
 -7.32320455e+00 -8.55202566e+00 -1.28504842e+01 -9.41741009e+00
 -1.23282922e+01 -6.05197210e+00 -3.72230154e+00 -1.23018684e-01
  1.44903957e+00  7.81608191e+00  3.13468538e+00 -8.54058084e+00
 -1.02417652e+01 -4.12217749e+00 -1.10312537e+00 -2.87564450e+00
 -7.86500377e+00 -2.80321141e+00  8.87402030e-02 -3.85911172e+00
 -7.78113530e+00 -5.33634827e+00 -1.94451536e+00  4.38558807e+00
  6.02130673e+00  8.97924742e+00  6.72045212e+00  1.40089692e+00
 -2.71731676e+00 -1.50729344e+00 -1.15473021e+00  2.66579892e-01]",cat
"[-2.52267641e+02  7.65721469e+01 -3.16430712e+01 -1.01868288e+01
 -1.83080746e+01 -6.62286180e+00 -2.05537137e+01 -4.76519095e+00
 -8.08220632e+00 -8.96326404e+00 -1.32182810e+01 -9.13799776e+00
 -1.12608935e+01 -3.90077251e+00 -3.11714917e-01  2.27522153e+00
 -4.55086016e-01  3.61092775e+00 -1.65456469e+00 -8.82881622e+00
 -9.61230201e+00 -4.18272913e+00 -2.22257995e+00 -3.59223007e+00
 -7.18713813e+00 -1.72296166e+00 -1.25059478e+00 -4.87395889e+00
 -5.25820372e+00 -2.23592585e+00  1.74976532e-01  2.54888935e+00
  3.46128079e+00  5.32489921e+00  2.45835107e+00 -6.57661082e-01
 -1.88687998e+00 -4.65625356e-01 -4.52656083e-01  1.51553542e-02]",cat
"[-2.44099978e+02  7.41318014e+01  5.53682634e+00  2.45103175e+01
  1.28051918e+01  1.31992225e+01  5.94339921e+00  8.52774573e+00
  6.01624107e+00  7.91481263e+00  2.38234821e-02  3.11627179e-01
 -8.35544450e-01  3.62371177e+00  1.75818729e+00  1.01240046e+00
 -2.07055623e-01  9.89395270e-01 -8.13743063e-02 -3.98152168e-01
 -1.39770426e+00  7.75575580e-01 -1.41289249e-01  4.62141862e-01
 -1.17933479e+00  6.71659791e-01 -1.93701210e-01  1.08808365e+00
  6.01097665e-02  3.83190795e-01 -6.04333536e-01  4.49680124e-01
 -1.28654308e-01 -7.00432528e-01 -6.90691863e-01 -3.34947784e-01
 -8.65208008e-01 -7.90169444e-01 -1.15528774e+00 -4.15713783e-01]",cat
"[-2.25382548e+02  7.26559555e+01  7.15680373e-01  2.84703285e+01
  1.46261375e+01  1.36570319e+01  4.65595446e+00  7.53844147e+00
  6.87818460e+00  7.68597000e+00  4.18390590e-03 -4.30598811e-01
 -2.70991201e-03  5.04739384e+00  1.69112744e+00  9.35290405e-01
  1.07993346e+00  1.67157939e+00  9.90203349e-01  5.28764289e-02
 -7.09599710e-02  1.90075670e+00  7.11321046e-01  2.10012309e+00
  2.44055287e-01  1.74503551e+00  1.67825753e+00  2.01439376e+00
  8.97310825e-02  1.45849853e+00  6.06192993e-01  1.46602854e+00
  3.41299606e-01 -9.34230729e-02  4.56191436e-02  1.14611626e-01
 -1.03158740e+00 -6.58617312e-01 -4.30842636e-01  2.19117045e-01]",cat
"[-2.16695167e+02  7.89172363e+01  1.83110207e+00  2.84584840e+01
  1.65565711e+01  1.40081022e+01  2.09699942e+00  4.22786472e+00
  4.14856247e+00  5.21881392e+00 -3.33556053e+00 -2.99313557e+00
  1.13350073e+00  5.45964004e+00  1.61577025e+00  1.54771262e+00
  8.47683921e-01  1.66707502e+00  6.88142171e-01 -2.51009500e-01
 -7.59234809e-01  9.17597929e-01  7.10477805e-01  1.52196403e+00
  1.01610919e+00  1.91022427e+00  2.85945903e+00  3.09617673e+00
  4.63516711e-01  1.74015689e+00  1.74044997e+00  2.97392919e+00
  9.42564989e-01  9.34212598e-01  1.25261434e+00  1.27798753e+00
  4.34226612e-01 -1.31694086e-01 -3.82134616e-01 -1.76530450e-03]",cat
"[-2.20682529e+02  2.16470998e+01 -3.00386571e+01  3.42950981e+01
 -2.14870653e+01  2.17899984e+01  2.20216280e+00  2.30986829e+01
  2.67038832e+01  3.04343042e+01  1.11035667e+01  7.20018924e-01
 -1.85704241e+01  2.41339193e+00  1.27809168e+01  8.05092311e+00
 -4.25896757e-01  1.93617702e+01  1.39085477e+01 -7.36347904e+00
  1.35936695e+00  3.92864696e+00 -2.44034377e+00  4.94343597e+00
  1.40905418e+01  1.61188487e+00  4.75899037e+00  7.02980187e+00
 -3.83297041e+00 -1.77253483e+00  2.78122154e+00 -2.83839434e+00
  5.61428556e+00  1.50189418e+00  1.05814296e+00 -1.44857659e+00
 -6.64531037e-01  6.97212148e-03 -3.70242328e+00  2.38181524e+00]",cat
"[-3.45328822e+02  6.97677932e+01 -9.43088812e+00 -8.62842472e+00
 -1.71217016e+01  1.29851675e+00 -2.57632291e+01 -2.68246382e+01
 -1.12372570e+01 -1.12803542e+01 -1.40014817e+00 -1.00261915e+01
 -5.89618285e+00  3.89773145e+00  8.58208144e+00  1.42586911e+01
  1.47122516e+01  6.36591484e+00 -9.55450221e+00 -1.68739463e+01
 -7.35254804e+00 -2.67660238e+00 -7.02530761e+00 -1.18415785e+01
 -1.01130267e+01 -8.65860800e+00 -4.97791149e+00 -6.46380520e+00
 -6.77623628e+00  3.95450353e+00  6.22101074e+00  1.08553860e+00
  2.04832815e+00  2.42588423e+00  7.54685301e-01 -5.78389516e+00
 -3.59188433e+00 -3.07985583e-02 -3.28418802e+00 -4.92234287e+00]",cat
"[-3.53893285e+02  1.14872834e+02  5.63080257e+00  2.22733330e+01
  9.37158775e+00 -8.02476310e+00 -4.53334976e+00 -1.08656252e+01
 -1.63445310e+01 -2.29699005e+00 -1.13548838e+01 -1.25045693e+01
 -8.00278934e+00 -1.17890739e+01 -7.64994209e+00 -6.44304165e+00
 -8.52757508e+00 -9.20571120e+00 -7.18689793e+00 -5.94516889e+00
 -7.77750311e+00 -3.31255307e+00 -7.25446279e+00 -4.99485234e+00
 -4.80900122e+00 -6.60474237e+00 -3.87125109e+00 -3.05580471e+00
 -1.40729901e+00 -2.93248268e+00  5.97285920e-02 -2.28906859e-01
 -1.25660481e+00 -1.61656420e+00 -4.18135198e+00 -9.96474046e-02
 -1.34151434e+00 -1.14091049e+00  1.23374099e+00  2.28940070e+00]",cat
"[-1.72035681e+02  3.95116499e+01  6.35742684e+00  4.16769657e+01
  7.91332252e+00  7.08437505e+00  1.27434482e+01  1.34220295e+01
 -1.06971392e+01  8.38105096e+00  7.60466439e+00  2.58364986e+01
  1.62308888e+01  2.52731641e+01 -1.10074206e+00 -2.46330547e+01
  1.43281955e+01  1.33870638e+01 -1.64329270e+01 -9.97966225e-02
 -1.51738249e+00  3.80021726e+00  1.22581256e+01  7.95265809e+00
  2.63682593e+00  7.98261705e+00 -7.56125197e+00 -5.72156667e+00
  1.71265554e+00 -4.20873001e+00 -2.54181406e+00  9.82805781e-01
 -1.95273435e+00  6.58099531e+00  2.90130235e+00 -9.50282758e-02
  3.69279241e+00 -1.06626362e+00 -2.57726536e+00  2.73975924e-01]",cat
"[-1.86664431e+02  1.61566913e+02 -7.54756317e+01  1.32156423e+01
  2.39511072e+01 -2.17645678e+01 -2.95136854e+00  1.28812948e+01
 -1.44492070e+01 -4.14615839e+00 -3.92546203e-01 -2.31088437e+00
 -8.45807821e+00 -3.08478786e+00 -1.73764654e+00 -4.30699715e+00
 -6.65726560e+00 -4.89424472e+00 -2.33673930e+00 -5.68276349e+00
 -1.82678373e+00  7.04087840e-01 -2.78979594e+00 -3.15754737e+00
 -2.99975170e+00 -1.53376503e+00 -2.89076541e+00 -2.92277132e+00
 -3.82365163e-01  2.29814167e-01 -2.67148905e+00 -1.21118566e+00
 -1.16629370e+00  1.75048635e-01 -4.19975030e-02 -6.27965757e-01
 -5.35322890e-01 -2.68389240e+00 -1.76420164e+00 -7.71847818e-01]",cat
"[-3.09050693e+02  8.50219494e+01  7.19643400e+01 -1.59456225e+01
 -1.81426233e+01  4.57173238e+00 -2.13491268e+00 -8.39127742e+00
 -1.01108164e+01 -1.17528473e+00 -7.88654871e-01  1.15877065e+01
 -4.38732128e+00  8.35159267e+00  9.54820387e+00  5.69440585e+00
  6.28969004e+00 -7.77775319e+00  1.09838380e+00  3.99512483e+00
 -1.73367812e+00  1.54724540e+00 -8.33156780e+00  1.97904483e-01
 -9.60675378e-01 -4.09506768e+00  4.77214220e-01  1.79669316e+00
  5.37115749e+00  1.92245156e-03 -2.08164032e+00 -5.63925279e-01
 -2.65018474e+00  2.01004371e+00 -2.04008191e-02 -1.58617633e-01
 -1.11712497e+00  6.07636825e-01  5.46969947e-01  9.01360777e-02]",cat
"[-2.43830920e+02  9.95514793e+01  1.21260847e+01  2.31067018e+00
  2.92210609e+00  8.06613094e+00 -9.10929384e-01  1.53441992e+00
  3.21044512e+00  5.69968840e+00  4.67406462e+00  4.72984882e+00
 -7.50904199e-01  9.59917025e-01 -2.46988597e+00  8.84048580e-03
 -3.75373255e+00 -9.14228453e-01 -2.30537240e+00 -3.36463496e+00
 -3.29167164e+00 -2.46833439e+00 -2.66161775e+00 -1.63658825e+00
 -2.04942604e+00  1.91007270e-01 -2.01887501e+00 -3.01644583e+00
 -1.14682235e+00 -4.12602457e-01 -1.96033650e+00 -2.39001746e-01
 -6.30717709e-01 -1.06782455e+00 -5.90382395e-01  6.11893374e-01
 -9.58918815e-01 -5.07699275e-01 -2.45662875e-01 -7.64348554e-01]",cat
"[-3.67622475e+02  6.33449643e+01  3.75763649e+00  1.58306567e+01
  1.02712132e+00  1.02955904e+01  9.13987297e+00 -7.11743896e-01
 -7.08392400e+00 -9.14970880e+00 -7.44309566e+00 -2.29093569e+00
 -3.12869108e+00  1.22560471e+00 -3.05253250e+00 -4.08972957e+00
 -3.10003492e+00 -2.37573691e+00 -4.26192661e+00 -6.03082451e+00
 -5.25407501e+00  7.11358225e-02  2.05846460e+00 -4.79175538e-01
 -1.59761130e+00 -8.89282078e-01 -2.10100004e+00 -2.69460392e+00
 -1.71278387e+00 -2.12117071e+00 -2.45560372e+00 -2.46022040e+00
 -2.44487755e+00 -3.31303185e+00 -4.22353218e+00 -5.21829076e+00
 -3.33982073e+00 -2.11786262e+00 -3.24986558e+00 -3.62282211e+00]",cat
"[-3.72110238e+02  6.07788601e+01  1.47210242e+01  1.98816831e+01
  1.03234526e+01  1.20080307e+01  1.02561489e+01  7.13448394e+00
  1.13368209e+00  4.33573629e+00  2.71723052e+00  7.01463361e-01
 -1.74396537e-01  1.19178316e+00  5.47355080e+00  6.41075545e+00
  3.89376715e+00 -1.36062463e+00 -3.85162767e+00 -2.84211517e-01
  1.97845147e+00  9.16046074e-01 -2.84892709e+00 -3.23224425e+00
 -1.69480194e+00 -1.35698939e+00 -1.75424727e+00 -7.85622299e-01
  3.51880131e-01 -5.10620356e-01 -8.04062525e-01 -1.25997757e+00
 -1.91629132e+00 -3.00434516e+00 -4.81840273e+00 -2.81176838e+00
 -2.40808546e+00 -3.50944852e+00 -4.19813855e+00 -4.45973093e+00]",cat
"[-3.87399348e+02  7.95526502e+01  5.49222506e+00  3.44953604e+01
  3.20659948e-01  1.60879118e+01 -1.80321709e+00  2.04722312e+01
 -4.50698714e+00  1.27397526e+01 -5.88290427e+00  7.68199768e+00
 -7.39795036e+00  9.81432657e+00 -2.64048163e+00  1.17675769e+01
 -5.48543610e+00  7.13310226e+00 -7.41472140e+00  4.68249055e+00
 -5.31340081e+00  5.48743016e+00 -5.75348526e+00  2.38830334e+00
 -4.62907285e+00  3.18229812e+00 -6.88514788e+00  1.19264350e+00
 -3.78405224e+00  3.76813370e+00 -4.72087493e+00  1.04223122e+00
 -4.42850823e+00 -1.61854013e+00 -4.96230521e+00 -1.07720366e+00
 -4.16047139e+00 -3.42876760e+00 -4.47524936e+00 -3.78799959e+00]",cat
"[-369.30976872   76.63366907    6.32946473   36.26887931   -0.82096949
   18.26825215   -2.29900756   23.10700477   -6.30784809   11.68259338
   -8.33593111    8.22899583   -8.87491825   11.49980006   -3.17636499
   10.37078565   -6.48010487    8.64136346   -6.32603337    6.23110728
   -6.87377322    5.24340441   -4.91148402    3.36631119   -6.02666758
    2.78318186   -6.22986184    1.38677933   -7.14495592    3.28780008
   -5.60653842    1.40536017   -4.80232291   -0.63487323   -4.56755476
   -1.1919156    -3.63709414   -3.06543473   -3.50804248   -3.3400032 ]",cat
"[-2.65852726e+02  1.14521343e+02 -1.04862218e+00  9.60939908e+00
  6.91494857e+00  4.54435956e+00 -2.76054545e+00  4.83436292e+00
 -3.82172595e-01 -1.55834734e+00 -4.05728620e+00 -2.28005108e+00
 -3.82489172e+00  3.37109487e-01  2.55864625e+00  5.24121093e+00
  5.14285410e+00  5.41872119e+00  5.30333162e+00  5.50907193e+00
  3.02701691e+00  2.29206635e+00  1.76501955e+00  1.01369924e+00
 -7.54717026e-01 -4.30619251e+00 -4.21997219e+00 -2.00579859e+00
 -4.85099945e-01  1.13934174e+00  5.61635507e-01  4.39902508e-01
  3.93838612e-01  4.39113791e-01 -7.72819079e-01 -1.51907348e+00
  1.04654328e-02  1.31667102e-01 -6.29749415e-01 -1.22700851e+00]",cat
"[-3.59258281e+02  1.21127597e+02 -3.34065168e+00  3.45468780e+01
  4.70220810e+00 -1.92434507e+00 -7.84653291e+00 -7.63448977e+00
 -2.08370014e+01  3.43440148e+00 -1.48325006e+01 -7.76200252e+00
 -9.91906942e+00 -7.22497432e+00 -1.18792435e+01 -4.15902957e+00
 -8.65436200e+00 -6.29100868e+00 -1.05468737e+01 -3.03690051e+00
 -1.01965004e+01 -3.10447103e-01 -8.13102955e+00 -2.72268654e+00
 -5.95627438e+00 -4.24939172e+00 -4.71295716e+00 -2.09919333e+00
 -2.67142076e+00 -3.53392418e+00 -1.39584206e+00 -1.51821727e+00
 -3.07514655e+00 -1.11186057e+00 -5.51321913e+00 -1.52672408e-01
 -2.77992033e+00 -1.99686680e+00 -6.89428252e-01  1.93982950e+00]",cat
"[-1.80510026e+02  1.03804002e+02 -1.02360635e+02  6.53596602e+00
 -2.74615637e+01 -2.01456767e+01  1.18160687e+01 -2.32725959e+00
  1.88749155e+01  2.06129972e+01  1.49859948e+01 -1.36451161e+00
  2.41737614e+01  1.38654441e-01 -1.17265931e+00  6.92291739e+00
  9.70166273e+00  7.65487713e+00  5.54293702e+00  4.64669913e+00
 -6.43161692e+00  3.53960216e+00 -4.39360933e+00 -5.37276080e+00
 -4.52543849e+00 -5.96347686e+00 -1.10826254e+00 -1.43014770e+00
 -2.61487576e+00  8.68051060e+00  5.41463872e+00  3.74405238e+00
  4.46320277e+00  3.32568304e+00  2.28404081e+00 -9.79751180e-01
  2.35257928e+00  2.67871056e+00  5.30412424e-01  5.51838422e-01]",cat
"[-2.77861486e+02  1.02512146e+02 -7.09396117e+00 -7.16981606e-01
 -4.65831540e-01  1.02052662e+01  1.19837052e+01  5.64514890e+00
 -4.37558234e+00  3.22289969e+00  9.33389569e+00  6.00506817e+00
  5.47883341e+00  2.63994346e+00 -5.64306021e+00 -8.30258702e-01
  7.43368849e-01  2.90810376e+00 -5.21304169e+00 -7.24598925e-01
  6.73218098e+00  8.42974260e+00  6.15478017e+00  5.94904557e+00
  2.65271652e+00  3.92924857e-01 -7.51559102e-02  2.82527338e+00
  1.12294880e+00 -1.43563437e+00  1.30971622e-01  1.54751571e+00
  1.21663822e+00  2.42945829e+00 -7.30663003e-01 -1.49458360e+00
 -7.94160775e-01 -3.59596006e-01 -1.70753129e+00 -2.00272227e-01]",cat
"[-3.07402507e+02  6.10450616e+01 -1.10313248e+02 -6.81264876e+00
  2.31228269e+01  7.37910999e+00 -5.69630794e+00 -1.06662193e+00
 -4.23633853e+00  1.62908589e+01 -7.73395640e+00 -1.32773767e+01
 -8.62486288e+00 -5.02103754e+00  2.87701827e+00 -4.54192114e+00
 -2.41373436e+00  6.09404366e-01  1.08333080e+00 -7.24943727e+00
 -9.83128591e+00 -2.52847071e+00 -1.74769794e+00 -6.35108358e+00
 -4.07763485e+00 -4.46976081e+00 -1.53569832e+01 -3.47269060e+00
 -1.29240010e+00 -8.58692426e+00 -5.52785109e+00 -5.58523485e+00
 -5.55123581e-01 -2.19960305e-01 -2.12435706e+00  2.28014828e-01
 -1.12944827e+01 -6.22837461e+00 -5.81169406e-01 -8.02771669e-01]",cat
"[-1.34691187e+02  9.45992504e+01  1.68138426e+00  1.87335546e+01
  1.02128771e+01  6.56566278e+00  4.69748129e+00 -4.30522858e+00
  1.58830228e+01  1.56253349e+01 -2.92099830e+01 -7.34542655e+00
 -5.02363410e+00  1.74990981e+00 -8.49481194e+00 -3.21244883e+00
  4.43120989e+00  1.18025531e+00 -6.76059041e+00 -3.30774472e-01
  4.69067132e+00 -5.39311859e-01 -1.15911251e+01 -2.37654407e+00
  3.02980281e+00 -7.37118628e+00  3.97066508e+00 -1.50334468e+00
 -1.81251075e+01  7.08701265e-02 -7.46758438e+00 -6.72429127e+00
  1.32128559e+00 -3.08791346e+00 -7.16902934e+00 -4.64532070e+00
 -1.04892965e+01  1.86356595e+00 -3.75679764e+00 -1.55511789e+00]",cat
"[-2.27833420e+02  2.17858133e+01 -3.60172224e+00  5.24002450e+01
  2.99514037e+00  8.09175128e+00  7.70751788e+00  1.20601021e+01
 -1.32316504e+01  1.50013627e+01  9.66171132e+00  3.40614481e+01
  5.48745069e+00 -1.08653829e+01 -6.39618799e+00  1.38273515e+01
  1.03968814e+01 -9.73050173e+00 -7.86826719e+00  1.39844539e+01
  1.49260798e+01 -1.34783040e+00 -8.69086137e-01  4.86150105e+00
 -7.51661648e+00 -5.97854645e+00  3.38632517e+00 -3.82560737e+00
 -6.57913024e+00  1.15116380e+01  6.29538589e+00  1.93513187e-01
  2.07516192e+00 -8.26166734e+00 -1.36295860e+00  3.37689980e+00
 -5.03499322e+00  2.07145666e+00 -5.12008616e-01 -1.31259047e+00]",cat
